Customer_ID,Customer_Name,Industry,Region,Country,Customer_Tier
CUST0001,Vargas Ltd,Manufacturing,APAC,India,Strategic
CUST0002,"Garza, Hodges and Meyer",Healthcare,EMEA,United Kingdom,Standard
CUST0003,Graham-Ferguson,FMCG,APAC,Australia,Strategic
CUST0004,Jenkins-Rich,Retail,APAC,India,Strategic
CUST0005,Colon Inc,Retail,APAC,Australia,Standard
CUST0006,"Johnson, Mccoy and Brown",Professional Services,LATAM,Brazil,Standard
CUST0007,"Lawrence, Black and Noble",Banking,North America,United States,Standard
CUST0008,"Davis, Coleman and Nelson",Manufacturing,LATAM,Mexico,Strategic
CUST0009,Hill Group,Healthcare,EMEA,Germany,Strategic
CUST0010,Smith-Ramos,Telecommunications,LATAM,Brazil,Premium
CUST0011,"Vazquez, Price and Gonzalez",Professional Services,North America,United States,Standard
CUST0012,Moreno and Sons,Healthcare,APAC,Singapore,Standard
CUST0013,Fowler LLC,Retail,North America,Canada,Standard
CUST0014,"Greene, Avila and Moore",Retail,APAC,India,Premium
CUST0015,Orr Inc,Healthcare,APAC,India,Premium
CUST0016,Small-Aguilar,Telecommunications,North America,Canada,Strategic
CUST0017,"Bradley, Morris and Walker",Retail,North America,Canada,Standard
CUST0018,"Morse, Chang and Bell",Banking,North America,United States,Standard
CUST0019,"Newman, Peters and Hamilton",Professional Services,EMEA,United Kingdom,Premium
CUST0020,"Montgomery, Simon and Holland",Telecommunications,North America,United States,Strategic
CUST0021,"Ballard, Roberts and Ford",Telecommunications,EMEA,United Kingdom,Premium
CUST0022,"Peterson, Huber and Mckee",Retail,North America,United States,Standard
CUST0023,"Gomez, Harrison and Nelson",Professional Services,North America,United States,Premium
CUST0024,Norman-French,Manufacturing,LATAM,Brazil,Strategic
CUST0025,"Erickson, Hanson and Shannon",Manufacturing,EMEA,France,Standard
CUST0026,Bell-Hernandez,Telecommunications,LATAM,Mexico,Strategic
CUST0027,Koch-Hendrix,Professional Services,EMEA,France,Strategic
CUST0028,Valdez-Maynard,Banking,APAC,India,Standard
CUST0029,"Hutchinson, Harrison and Waters",FMCG,EMEA,France,Standard
CUST0030,"Drake, Bailey and Brown",FMCG,APAC,Singapore,Standard
CUST0031,"Alexander, Ward and West",Technology,LATAM,Mexico,Standard
CUST0032,Moore and Sons,Manufacturing,APAC,Australia,Standard
CUST0033,"Garcia, Fuller and Williams",Manufacturing,North America,United States,Premium
CUST0034,White-Hernandez,Technology,EMEA,Germany,Standard
CUST0035,Gonzales-Ramirez,Healthcare,North America,United States,Standard
CUST0036,Hammond Inc,Banking,North America,United States,Premium
CUST0037,"Smith, Jones and Rhodes",Technology,EMEA,France,Standard
CUST0038,"Sanford, Gilmore and Johnson",Technology,North America,Canada,Strategic
CUST0039,"Sanchez, Nguyen and Schroeder",Retail,North America,Canada,Strategic
CUST0040,Walsh-Payne,Healthcare,EMEA,France,Strategic
CUST0041,Mitchell Group,Banking,LATAM,Brazil,Strategic
CUST0042,Lane-Horn,Manufacturing,LATAM,Brazil,Standard
CUST0043,Tran Group,Retail,LATAM,Brazil,Standard
CUST0044,Shaffer Group,Telecommunications,North America,Canada,Premium
CUST0045,"Gilmore, West and Hernandez",Retail,LATAM,Brazil,Strategic
CUST0046,Reyes Group,Technology,APAC,Singapore,Standard
CUST0047,Morton Ltd,Retail,EMEA,France,Strategic
CUST0048,Hull-Walker,Technology,APAC,Australia,Strategic
CUST0049,Mayo Inc,Telecommunications,APAC,India,Strategic
CUST0050,Jackson Inc,Professional Services,EMEA,Germany,Strategic
CUST0051,"Fischer, Davis and Nelson",Professional Services,EMEA,France,Strategic
CUST0052,Scott Group,Retail,LATAM,Mexico,Strategic
CUST0053,Mason-Garcia,FMCG,APAC,Australia,Premium
CUST0054,Rogers LLC,Professional Services,LATAM,Mexico,Standard
CUST0055,Sandoval LLC,Healthcare,APAC,Australia,Strategic
CUST0056,Schultz-Henderson,Healthcare,LATAM,Mexico,Strategic
CUST0057,Stone-Robinson,Professional Services,EMEA,United Kingdom,Strategic
CUST0058,Hart PLC,Manufacturing,LATAM,Brazil,Premium
CUST0059,Reyes-Miller,Professional Services,EMEA,United Kingdom,Standard
CUST0060,Hayes PLC,Technology,APAC,India,Strategic
CUST0061,"Gomez, Williams and Smith",FMCG,EMEA,United Kingdom,Premium
CUST0062,Haynes and Sons,FMCG,LATAM,Brazil,Strategic
CUST0063,"Lester, Burnett and Smith",Technology,EMEA,Germany,Premium
CUST0064,Johnson-Thompson,Manufacturing,North America,Canada,Premium
CUST0065,Gomez-Benton,Retail,LATAM,Brazil,Premium
CUST0066,Valdez-Travis,Technology,EMEA,United Kingdom,Standard
CUST0067,Love-Thomas,Technology,North America,United States,Standard
CUST0068,Fox-Murphy,Technology,LATAM,Brazil,Standard
CUST0069,"Martinez, Wright and Hendricks",Healthcare,APAC,India,Standard
CUST0070,"Cain, Gutierrez and Wiggins",Retail,APAC,Australia,Premium
CUST0071,Rodriguez-Martinez,Retail,APAC,Australia,Standard
CUST0072,Webster-Green,Healthcare,APAC,Australia,Premium
CUST0073,Johnson Ltd,Retail,North America,Canada,Standard
CUST0074,Hunter-Hernandez,Manufacturing,North America,United States,Premium
CUST0075,Davenport-Patterson,Manufacturing,EMEA,France,Premium
CUST0076,Jacobs Group,Technology,North America,United States,Premium
CUST0077,Short Ltd,Retail,APAC,India,Standard
CUST0078,Leblanc-Coffey,Telecommunications,North America,United States,Strategic
CUST0079,"Houston, Hines and Snyder",Manufacturing,EMEA,Germany,Strategic
CUST0080,Smith-King,Technology,LATAM,Mexico,Standard
CUST0081,Brown-Landry,Banking,North America,United States,Premium
CUST0082,Griffith Group,Banking,APAC,India,Premium
CUST0083,Anderson-Wong,Telecommunications,North America,United States,Strategic
CUST0084,Fleming-Suarez,Manufacturing,North America,Canada,Strategic
CUST0085,Thomas-Contreras,FMCG,APAC,Australia,Premium
CUST0086,Davenport Group,Telecommunications,APAC,India,Strategic
CUST0087,"Moss, Everett and Simpson",Professional Services,North America,United States,Standard
CUST0088,"Hanson, Perez and Holden",Healthcare,LATAM,Brazil,Strategic
CUST0089,"Collins, Wood and Franklin",Technology,EMEA,France,Premium
CUST0090,Arnold-Cruz,Banking,EMEA,Germany,Strategic
CUST0091,Anthony Inc,Technology,North America,Canada,Premium
CUST0092,Day-Rodgers,Retail,EMEA,France,Standard
CUST0093,Mckenzie-Oconnor,FMCG,APAC,Singapore,Standard
CUST0094,"Buck, Cunningham and Ramos",Banking,EMEA,United Kingdom,Strategic
CUST0095,Williams PLC,Banking,LATAM,Brazil,Standard
CUST0096,Nguyen-Burch,Retail,North America,Canada,Premium
CUST0097,Smith Ltd,Healthcare,EMEA,France,Premium
CUST0098,"Carr, Irwin and Barrett",Retail,APAC,Singapore,Strategic
CUST0099,Cox Inc,Manufacturing,LATAM,Mexico,Strategic
CUST0100,Hughes PLC,Retail,EMEA,United Kingdom,Premium
CUST0101,Mosley Inc,Healthcare,North America,Canada,Premium
CUST0102,"Jackson, Oconnell and Rodriguez",Telecommunications,North America,Canada,Strategic
CUST0103,"Smith, Butler and Bishop",Banking,APAC,Singapore,Standard
CUST0104,Lambert-Gomez,Healthcare,North America,United States,Standard
CUST0105,Morrison Group,Telecommunications,LATAM,Mexico,Premium
CUST0106,Reynolds and Sons,Retail,APAC,Singapore,Premium
CUST0107,Morrison-Torres,FMCG,APAC,Australia,Strategic
CUST0108,"Wang, Garza and Benjamin",FMCG,EMEA,Germany,Strategic
CUST0109,Lewis and Sons,Healthcare,North America,Canada,Standard
CUST0110,Crawford and Sons,FMCG,North America,Canada,Premium
CUST0111,Sims-Mcdowell,Banking,LATAM,Mexico,Strategic
CUST0112,Glenn-Decker,Banking,LATAM,Mexico,Standard
CUST0113,Salazar-Johnson,Technology,North America,Canada,Premium
CUST0114,Roberts-Richardson,FMCG,North America,United States,Standard
CUST0115,"Mccoy, Potter and Allison",Professional Services,North America,Canada,Premium
CUST0116,"Ramirez, Ward and Brown",Professional Services,EMEA,France,Standard
CUST0117,Little Ltd,Healthcare,EMEA,France,Premium
CUST0118,Hahn LLC,Retail,North America,United States,Standard
CUST0119,Roberts-Allen,Retail,North America,United States,Strategic
CUST0120,"Allen, Fernandez and Luna",Retail,APAC,India,Premium
CUST0121,Grant Ltd,FMCG,APAC,Singapore,Standard
CUST0122,Walls PLC,FMCG,EMEA,France,Premium
CUST0123,"Wallace, Ray and Ayala",Banking,LATAM,Brazil,Standard
CUST0124,Obrien-Larsen,FMCG,APAC,India,Strategic
CUST0125,Rangel and Sons,Professional Services,EMEA,France,Strategic
CUST0126,Allen-Espinoza,Professional Services,EMEA,United Kingdom,Strategic
CUST0127,"James, Taylor and Gonzalez",Professional Services,LATAM,Mexico,Standard
CUST0128,Phillips-Collins,Banking,LATAM,Mexico,Standard
CUST0129,Moore-Vaughan,Manufacturing,LATAM,Mexico,Strategic
CUST0130,Hall-Jones,Retail,North America,Canada,Premium
CUST0131,"Riley, Martinez and Oconnor",Manufacturing,LATAM,Brazil,Strategic
CUST0132,Thomas-Perez,Telecommunications,North America,Canada,Standard
CUST0133,"Lopez, Clark and Garcia",Banking,APAC,India,Strategic
CUST0134,"Curry, Ford and Torres",Retail,LATAM,Brazil,Strategic
CUST0135,Rich Ltd,Telecommunications,LATAM,Mexico,Standard
CUST0136,Moore and Sons,Technology,LATAM,Mexico,Strategic
CUST0137,"Perez, Kelly and Newton",Technology,LATAM,Mexico,Standard
CUST0138,Reyes-Clark,Technology,LATAM,Mexico,Premium
CUST0139,Love-Jacobs,FMCG,North America,Canada,Standard
CUST0140,Clark-Smith,Retail,EMEA,Germany,Premium
CUST0141,Pennington Group,Technology,LATAM,Mexico,Premium
